Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Thukpa,0,0,120,2.0,4.0,1.2,15.0,450.0,200.0,18.0,1.5,0.0,1.0,https://th.bing.com/th/id/OIP.79spZeICsBG4ExLyZvNDYQHaHa?o=7rm=3&rs=1&pid=ImgDetMain
Kwati,0,0,140,1.5,9.0,2.8,30.0,60.0,210.0,20.0,5.0,0.0,1.0,https://www.bhaktapur.com/wp-content/uploads/2020/03/kwati-special-dish-of-janai-purnima.jpg
Khasiko Masu,1,0,280,15.0,24.0,3.2,30.0,400.0,260.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.b72e7eee2003eb4ab4de2d7a6c86ffab?rik=AzerNtiNEG%2bfpA&pid=ImgRaw&r=0
Gundruk,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.oC64DUbT1U97EyMAZnhKSAHaHQ?rs=1&pid=ImgDetMain
Dhido,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.f_RdQv21gKwT1pKdliwRSgHaEK?rs=1&pid=ImgDetMain
Sel Roti,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.DlaBlK6_jVMr6bCg2kUaHwHaMJ?rs=1&pid=ImgDetMain
Yomari,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.ytimg.com/vi/gzQG5tn1I-Q/maxresdefault.jpg
Chatamari,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.b6c0c8bbbfb43e102fdc915d54e498a4?rik=KKzuHSc2c2KAeA&riu=http%3a%2f%2f4.bp.blogspot.com%2f-C2LjndnKnx8%2fU6jIDtL0SrI%2fAAAAAAAABwk%2fWHWi23Rg3ms%2fs1600%2fDSC04733.JPG&ehk=zS5VePcy1DS2CgQs3IhQKIRhR4LtN4lFuZ64RnWtPKs%3d&risl=&pid=ImgRaw&r=0
Sinki,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://ik.imagekit.io/shortpedia/Voices/wp-content/uploads/2021/05/sinki-soup.jpg
Kodo ko Roti,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.r2FtKgqrPxTjyfpdfcvhlwHaE5?rs=1&pid=ImgDetMain
